Country,iso_n3,category,Size
Algeria,12,Chemistry,0
Algeria,12,Economics,0
Algeria,12,Literature,1
Algeria,12,Medicine,0
Algeria,12,Peace,0
Algeria,12,Physics,2
Argentina,32,Chemistry,0
Argentina,32,Economics,0
Argentina,32,Literature,0
Argentina,32,Medicine,2
Argentina,32,Peace,2
Argentina,32,Physics,0
Australia,36,Chemistry,1
Australia,36,Economics,0
Australia,36,Literature,0
Australia,36,Medicine,8
Australia,36,Peace,0
Australia,36,Physics,2
Austria,40,Chemistry,7
Austria,40,Economics,1
Austria,40,Literature,1
Austria,40,Medicine,6
Austria,40,Peace,1
Austria,40,Physics,3
Azerbaijan,31,Chemistry,0
Azerbaijan,31,Economics,0
Azerbaijan,31,Literature,0
Azerbaijan,31,Medicine,0
Azerbaijan,31,Peace,0
Azerbaijan,31,Physics,1
Bangladesh,50,Chemistry,0
Bangladesh,50,Economics,0
Bangladesh,50,Literature,0
Bangladesh,50,Medicine,0
Bangladesh,50,Peace,1
Bangladesh,50,Physics,0
Belarus,112,Chemistry,0
Belarus,112,Economics,1
Belarus,112,Literature,0
Belarus,112,Medicine,0
Belarus,112,Peace,2
Belarus,112,Physics,1
Belgium,56,Chemistry,1
Belgium,56,Economics,0
Belgium,56,Literature,1
Belgium,56,Medicine,3
Belgium,56,Peace,3
Belgium,56,Physics,1
Bosnia and Herz.,70,Chemistry,1
Bosnia and Herz.,70,Economics,0
Bosnia and Herz.,70,Literature,1
Bosnia and Herz.,70,Medicine,0
Bosnia and Herz.,70,Peace,0
Bosnia and Herz.,70,Physics,0
Brazil,76,Chemistry,0
Brazil,76,Economics,0
Brazil,76,Literature,0
Brazil,76,Medicine,1
Brazil,76,Peace,0
Brazil,76,Physics,0
Bulgaria,100,Chemistry,0
Bulgaria,100,Economics,0
Bulgaria,100,Literature,1
Bulgaria,100,Medicine,0
Bulgaria,100,Peace,0
Bulgaria,100,Physics,0
Canada,124,Chemistry,4
Canada,124,Economics,3
Canada,124,Literature,2
Canada,124,Medicine,4
Canada,124,Peace,1
Canada,124,Physics,4
Chile,152,Chemistry,0
Chile,152,Economics,0
Chile,152,Literature,2
Chile,152,Medicine,0
Chile,152,Peace,0
Chile,152,Physics,0
China,156,Chemistry,1
China,156,Economics,0
China,156,Literature,2
China,156,Medicine,2
China,156,Peace,2
China,156,Physics,6
Colombia,170,Chemistry,0
Colombia,170,Economics,0
Colombia,170,Literature,1
Colombia,170,Medicine,0
Colombia,170,Peace,1
Colombia,170,Physics,0
Costa Rica,188,Chemistry,0
Costa Rica,188,Economics,0
Costa Rica,188,Literature,0
Costa Rica,188,Medicine,0
Costa Rica,188,Peace,1
Costa Rica,188,Physics,0
Croatia,191,Chemistry,1
Croatia,191,Economics,0
Croatia,191,Literature,0
Croatia,191,Medicine,0
Croatia,191,Peace,0
Croatia,191,Physics,0
Cyprus,196,Chemistry,0
Cyprus,196,Economics,1
Cyprus,196,Literature,0
Cyprus,196,Medicine,0
Cyprus,196,Peace,0
Cyprus,196,Physics,0
Czech Rep.,203,Chemistry,1
Czech Rep.,203,Economics,0
Czech Rep.,203,Literature,1
Czech Rep.,203,Medicine,2
Czech Rep.,203,Peace,1
Czech Rep.,203,Physics,1
Denmark,208,Chemistry,1
Denmark,208,Economics,0
Denmark,208,Literature,4
Denmark,208,Medicine,4
Denmark,208,Peace,1
Denmark,208,Physics,2
Egypt,818,Chemistry,2
Egypt,818,Economics,0
Egypt,818,Literature,1
Egypt,818,Medicine,0
Egypt,818,Peace,3
Egypt,818,Physics,0
Finland,246,Chemistry,1
Finland,246,Economics,1
Finland,246,Literature,1
Finland,246,Medicine,1
Finland,246,Peace,1
Finland,246,Physics,0
France,250,Chemistry,10
France,250,Economics,3
France,250,Literature,11
France,250,Medicine,12
France,250,Peace,10
France,250,Physics,10
Germany,276,Chemistry,28
Germany,276,Economics,1
Germany,276,Literature,8
Germany,276,Medicine,20
Germany,276,Peace,5
Germany,276,Physics,27
Ghana,288,Chemistry,0
Ghana,288,Economics,0
Ghana,288,Literature,0
Ghana,288,Medicine,0
Ghana,288,Peace,1
Ghana,288,Physics,0
Greece,300,Chemistry,0
Greece,300,Economics,0
Greece,300,Literature,1
Greece,300,Medicine,0
Greece,300,Peace,0
Greece,300,Physics,0
Guatemala,320,Chemistry,0
Guatemala,320,Economics,0
Guatemala,320,Literature,1
Guatemala,320,Medicine,0
Guatemala,320,Peace,1
Guatemala,320,Physics,0
Hungary,348,Chemistry,3
Hungary,348,Economics,1
Hungary,348,Literature,1
Hungary,348,Medicine,2
Hungary,348,Peace,0
Hungary,348,Physics,2
Iceland,352,Chemistry,0
Iceland,352,Economics,0
Iceland,352,Literature,1
Iceland,352,Medicine,0
Iceland,352,Peace,0
Iceland,352,Physics,0
India,356,Chemistry,1
India,356,Economics,1
India,356,Literature,2
India,356,Medicine,2
India,356,Peace,1
India,356,Physics,1
Indonesia,360,Chemistry,0
Indonesia,360,Economics,0
Indonesia,360,Literature,0
Indonesia,360,Medicine,1
Indonesia,360,Peace,0
