organization,category,count
A.F. Ioffe Physico-Technical Institute,Physics,1
Aarhus University,Chemistry,1
Aarhus University,Economics,1
Academy of Sciences,Economics,1
Academy of Sciences,Physics,2
All Souls College,Economics,1
Amsterdam University,Physics,2
Argonne National Laboratory,Physics,1
Arizona State University,Economics,2
Associated Universities Inc.,Physics,1
Atomic Energy Research Establishment,Physics,1
Australian National University,Medicine,1
Australian National University,Physics,1
Basel Institute for Immunology,Medicine,2
Basel University,Medicine,1
Bell Laboratories,Physics,4
Bell Telephone Laboratories,Physics,3
Berlin University,Chemistry,5
Berlin University,Physics,2
Berne University,Medicine,1
Biozentrum der Universität,Medicine,1
Birmingham University,Chemistry,1
Boston University Medical School,Chemistry,1
Brigham and Women's Hospital,Medicine,1
Bristol University,Physics,1
Brown University,Physics,2
Brussels University,Medicine,1
Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Physics,1
CERN,Physics,4
Calcutta University,Physics,1
California Institute of Technology (Caltech),Chemistry,4
California Institute of Technology (Caltech),Medicine,5
California Institute of Technology (Caltech),Peace,1
California Institute of Technology (Caltech),Physics,7
Cardiff University,Medicine,1
Carnegie Institute of Technology,Physics,1
Carnegie Institution of Washington,Medicine,1
Carnegie Mellon University,Economics,2
Center for Study of Public Choice,Economics,1
"Central Research Laboratories, EMI",Medicine,1
China Academy of Traditional Chinese Medicine,Medicine,1
Chinese University of Hong Kong,Physics,1
City University of New York,Economics,1
Clare Hall Laboratory,Chemistry,1
Cold Spring Harbor Laboratory,Medicine,1
Collège de France,Chemistry,1
Collège de France,Physics,3
Cologne University,Chemistry,1
Columbia University,Chemistry,2
Columbia University,Economics,4
Columbia University,Medicine,3
Columbia University,Peace,1
Columbia University,Physics,6
"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital",Medicine,1
Copenhagen University,Medicine,2
Copenhagen University,Physics,1
Cornell University,Chemistry,3
Cornell University,Medicine,1
Cornell University,Physics,4
Department of Scientific and Industrial Research,Physics,1
"Digital Pathways, Inc.",Physics,1
Drew University,Medicine,1
Du Pont,Chemistry,1
Duke University Medical Center,Chemistry,1
Duke University School of Medicine,Chemistry,1
Edinburgh University,Physics,2
Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Chemistry,4
"Enrico Fermi Institute, University of Chicago",Physics,1
Federal Reserve Bank of Minneapolis,Economics,1
Fermi National Accelerator Laboratory,Physics,1
Finsen Medical Light Institute,Medicine,1
