category,decade,yes_count,no_count
chemistry,1900s,1,3
chemistry,1910s,14,438
chemistry,1920s,12,57
chemistry,1930s,21,2485
chemistry,1940s,18,1199
chemistry,1950s,19,1350
chemistry,1960s,22,2273
chemistry,1970s,25,1520
chemistry,1980s,24,7257
chemistry,1990s,27,10036
chemistry,2000s,28,9917
chemistry,2010s,25,8124
medicine,1900s,10,262
medicine,1910s,7,145
medicine,1920s,17,1073
medicine,1930s,17,281
medicine,1940s,20,1869
medicine,1950s,23,2113
medicine,1960s,26,3170
medicine,1970s,25,7846
medicine,1980s,32,5173
medicine,1990s,25,4416
medicine,2000s,32,8790
medicine,2010s,25,7857
physics,1900s,9,130
physics,1910s,3,50
physics,1920s,23,354
physics,1930s,24,739
physics,1940s,13,316
physics,1950s,23,1094
physics,1960s,20,1845
physics,1970s,22,2219
physics,1980s,22,4010
physics,1990s,25,4571
physics,2000s,24,6226
physics,2010s,24,6146
